Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad
128000,140000,Saavedra,1.0,1.0,1.0,2.0,46.0,46.0,1,0,1,0,1,0,0,1,1,2782.608695652174,1.0,0.9661993584412498,Muy Segura
138000,172000,Saavedra,1.0,2.0,2.0,11.0,43.0,64.0,1,0,1,1,1,0,0,0,0,2156.25,0.671875,0.9250920755613639,Muy Segura
161000,160000,Saavedra,2.0,1.0,3.0,40.0,54.0,54.0,0,0,0,1,1,0,0,0,0,2981.4814814814813,1.0,0.7845431864084591,Segura
129000,14000,Saavedra,1.0,1.0,1.0,2.0,46.0,54.0,1,0,1,0,1,0,1,0,0,2388.8888888888887,0.8518518518518519,0.9661993584412498,Muy Segura
109000,179000,Saavedra,2.0,1.0,3.0,50.0,55.0,63.0,0,0,0,1,0,0,0,0,0,1730.1587301587301,0.873015873015873,0.7179517642865629,Segura
210000,170000,Saavedra,2.0,2.0,3.0,28.0,64.0,79.0,0,0,1,0,1,0,1,0,0,2658.227848101266,0.810126582278481,0.1798740643934894,Insegura
119000,79000,Saavedra,1.0,1.0,2.0,20.0,47.0,57.0,0,0,1,1,0,0,0,1,1,2087.719298245614,0.8245614035087719,0.9250920755613639,Muy Segura
120000,290000,Saavedra,2.0,1.0,3.0,50.0,63.0,67.0,0,0,0,1,0,0,0,0,1,1791.044776119403,0.9402985074626866,0.9338244029939409,Muy Segura
135000,120000,Saavedra,1.0,1.0,2.0,8.0,48.0,48.0,0,0,0,1,0,0,1,0,0,2812.5,1.0,0.9839016276583106,Muy Segura
110000,90000,Saavedra,3.0,1.0,4.0,40.0,65.0,65.0,0,0,0,1,0,0,1,0,0,1692.3076923076924,1.0,0.8426992990376618,Segura
235000,290000,Saavedra,2.0,2.0,3.0,1.0,56.0,120.0,0,0,0,1,1,0,1,0,0,1958.3333333333333,0.4666666666666667,0.8167993346798147,Segura
99000,125000,Saavedra,1.0,1.0,1.0,1.0,32.0,36.0,1,0,0,0,1,1,1,0,1,2750.0,0.8888888888888888,0.9544374480218605,Muy Segura
78000,70000,Saavedra,1.0,1.0,1.0,5.0,38.0,42.0,0,0,1,0,0,0,1,0,0,1857.142857142857,0.9047619047619048,0.8991921112035167,Segura
79000,190000,Saavedra,1.0,1.0,2.0,7.0,38.0,38.0,0,0,0,1,0,0,1,0,0,2078.9473684210525,1.0,0.8847570393251752,Segura
110000,45000,Saavedra,2.0,1.0,3.0,70.0,57.0,57.0,1,0,0,1,0,0,1,0,0,1929.8245614035088,1.0,0.9145479386954971,
195000,200000,Saavedra,2.0,2.0,3.0,19.0,71.0,71.0,1,0,0,1,1,0,1,0,0,2746.478873239437,1.0,0.9295473446596174,Muy Segura
135000,120000,Saavedra,1.0,1.0,2.0,11.0,44.0,44.0,1,0,1,1,1,0,1,1,1,3068.181818181818,1.0,0.9250920755613639,Muy Segura
145000,257000,Saavedra,2.0,1.0,3.0,5.0,58.0,60.0,1,0,1,0,1,0,1,1,0,2416.6666666666665,0.9666666666666667,0.9145479386954971,
