Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Latitud,Longitud,Link,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad,Subte_Cerca,Percentil_Precio_Barrio,Score
120000,75000,Saavedra,1.0,1.0,2.0,,45.0,50.0,-34.54501,-58.48111,https://www.argenprop.com/departamento-en-venta-en-saavedra--6538679,1,0,0,1,0,1,1,0,1,2400.0,0.9,0.946655577996911,Muy Segura,0.0,0.5,7.0
249000,150000,Saavedra,2.0,1.0,3.0,2.0,80.0,84.0,-34.54898,-58.48278,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18629225,0,0,0,0,1,0,0,0,0,2964.285714285714,0.9523809523809523,0.9581798740643935,Muy Segura,0.0,0.8181818181818182,3.0
89000,130000,Saavedra,1.0,1.0,1.0,8.0,32.0,32.0,-34.554207,-58.492474,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--17507697,1,0,1,0,1,0,0,0,0,2781.25,1.0,0.9307354164191517,Muy Segura,0.0,0.7307692307692307,5.5
93000,150000,Saavedra,1.0,1.0,2.0,15.0,31.0,44.0,-34.557045,-58.482464,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18722000,1,0,1,0,0,0,1,0,0,2113.6363636363635,0.7045454545454546,0.9182606629440418,Muy Segura,0.0,0.3181818181818182,3.5
138000,92000,Saavedra,2.0,1.0,3.0,49.0,65.0,65.0,-34.547016,,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18596840,0,0,0,0,0,0,1,0,0,2123.076923076923,1.0,,,,0.32167832167832167,0.0
179500,200000,Saavedra,1.0,1.0,2.0,,58.0,77.0,-34.55204,-58.48343,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--17759746,1,0,0,0,1,0,0,0,1,2331.1688311688313,0.7532467532467533,0.8829155280978971,Segura,0.0,0.46853146853146854,5.0
132000,180000,Saavedra,1.0,1.0,2.0,15.0,39.0,44.0,-34.54345,-58.47507,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19240573,0,0,0,0,1,0,1,0,0,3000.0,0.8863636363636364,0.792443863609362,Segura,0.0,0.8321678321678322,2.0
260000,390000,Saavedra,2.0,2.0,3.0,1.0,75.0,79.0,,-58.48186,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--19136234,1,0,0,0,1,1,1,0,0,3291.1392405063293,0.9493670886075949,,,,0.8951048951048951,7.0
87000,40000,Saavedra,1.0,1.0,1.0,,32.0,32.0,-34.552338,-58.484646,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--17834029,0,0,1,0,0,0,1,1,1,2718.75,1.0,0.7894736842105263,Segura,0.0,0.6923076923076923,2.5
138000,175000,Saavedra,1.0,2.0,2.0,11.0,43.0,64.0,-34.55206,-58.474064,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18965745,1,0,0,1,1,0,0,0,0,2156.25,0.671875,0.9250920755613639,Muy Segura,0.0,0.36363636363636365,5.0
