Precio,Expensas,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Subte_Cerca,Barrio_Almagro,Barrio_Balvanera,Barrio_Belgrano,Barrio_Boedo,Barrio_Caballito,Barrio_Chacarita,Barrio_Constitucion,Barrio_Flores,Barrio_Floresta,Barrio_La Boca,Barrio_Nuñez,Barrio_Palermo,Barrio_Parque Patricios,Barrio_Puerto Madero,Barrio_Recoleta,Barrio_Retiro,Barrio_Saavedra,Barrio_San Nicolás,Barrio_San Telmo,Barrio_Villa Urquiza,Barrio_Villa del Parque,Categoria_Seguridad_Insegura,Categoria_Seguridad_Muy Insegura,Categoria_Seguridad_Muy Segura,Categoria_Seguridad_Segura,Prediccion_Precio
99000,214000,2.0,1.0,3.0,41.0,72.0,72.0,1,0,1,0,1,0,1,0,0,1375.0,1.0,0.0867292384460021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129047.02
48000,400000,1.0,1.0,1.0,46.0,25.0,25.0,1,0,1,0,1,1,1,0,0,1920.0,1.0,0.0867292384460021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55158.99
153000,400000,4.0,1.0,5.0,90.0,153.0,164.0,0,0,0,0,0,0,1,0,0,932.9268292682926,0.9329268292682928,0.3915290483545206,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,203750.19
58000,72000,1.0,1.0,2.0,50.0,29.0,29.0,0,0,1,0,0,1,1,0,0,2000.0,1.0,0.0867292384460021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61199.316
50000,120000,1.0,1.0,1.0,40.0,27.0,27.0,0,0,0,1,0,0,0,0,0,1851.851851851852,1.0,0.3693121064512297,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,53816.46
49900,112000,1.0,1.0,1.0,50.0,23.0,23.0,1,0,0,0,1,0,1,0,0,2169.5652173913045,1.0,0.1044315076630628,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,54102.09
43000,85000,1.0,1.0,1.0,35.0,25.0,25.0,1,0,1,0,0,0,1,0,0,1720.0,1.0,0.1744683378876084,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,56303.027
40000,68000,1.0,1.0,1.0,54.0,23.0,23.0,0,0,0,1,0,0,1,0,0,1739.1304347826087,1.0,0.0962338125222763,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,48214.863
110000,215000,2.0,1.0,3.0,70.0,73.0,73.0,0,0,0,0,1,0,1,0,0,1506.849315068493,1.0,0.0374242604253296,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,122113.98
83000,200000,2.0,1.0,3.0,46.0,55.0,55.0,1,0,0,1,0,0,0,0,0,1509.090909090909,1.0,0.0196625876202922,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,86367.66
245000,274000,3.0,2.0,4.0,60.0,81.0,86.0,0,0,0,0,1,0,1,0,0,2848.8372093023254,0.9418604651162792,0.0275632648211952,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,167214.64
149000,190000,2.0,3.0,3.0,40.0,72.0,81.0,0,0,0,1,0,0,1,0,0,1839.5061728395065,0.8888888888888888,0.0535820363549958,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,133535.4
73000,93000,1.0,1.0,2.0,58.0,31.0,33.0,0,0,0,0,0,0,1,0,0,2212.121212121212,0.9393939393939394,0.126589045978377,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,61237.887
89000,80000,1.0,1.0,2.0,50.0,49.0,49.0,0,0,0,0,0,0,1,0,0,1816.3265306122448,1.0,0.0403944398241653,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,79980.49
47000,369000,1.0,1.0,2.0,42.0,23.0,23.0,1,0,0,0,0,0,0,0,0,2043.4782608695648,1.0,0.0867292384460021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46909.234
75000,140000,1.0,1.0,2.0,50.0,50.0,50.0,0,0,0,0,0,0,0,0,0,1500.0,1.0,0.1725080194843768,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,82548.88
70900,170000,1.0,1.0,1.0,40.0,37.0,37.0,0,0,1,1,0,0,1,0,0,1916.2162162162165,1.0,0.0757395746703101,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,68591.97
140000,390000,2.0,1.0,3.0,60.0,84.0,84.0,0,0,1,1,0,1,1,0,0,1666.6666666666667,1.0,0.0962338125222763,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,131937.55
65000,50000,1.0,1.0,1.0,50.0,30.0,30.0,0,0,0,0,0,0,0,0,0,2166.6666666666665,1.0,0.130747297136747,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,56720.84
39000,103052,1.0,1.0,1.0,50.0,20.0,20.0,1,0,0,0,0,0,1,0,0,1950.0,1.0,0.088630153261257,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,46237.434
169000,184000,2.0,1.0,3.0,79.0,77.0,77.0,1,0,1,1,0,0,1,0,0,2194.805194805195,1.0,0.0867292384460021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129197.47
